genre,title,artist,album,popularity,spotify_url
Hyperpop,Pretty Scene Girl!,Clover!,Pretty Scene Girl!,68,https://open.spotify.com/track/4cpEwUqg9QIjSJ2m5giV20
Hyperpop,GIRL HELL 1999,femtanyl,GIRL HELL 1999,64,https://open.spotify.com/track/5dptcPc81FCiyCPsNvl0qu
Hyperpop,style,2hollis,style,62,https://open.spotify.com/track/3jrY4AAWTvZfmwGs3E7QcN
Hyperpop,icantbelieveiletyougetaway,aldn,icantbelieveiletyougetaway,65,https://open.spotify.com/track/2F4vgXgGEZPCnBNBfqXhmH
Hyperpop,Hands up!,"6arelyhuman, kets4eki, Pixel Hood",Sassy Scene,68,https://open.spotify.com/track/75OFvW5ylu8wHvWeKPMbLT
Hyperpop,I'm so fucked up please help me,Rebzyyx,I'm so fucked up please help me,68,https://open.spotify.com/track/3wtN68pgYcPyc7H6GRd31a
Hyperpop,Freak Show,"H3artcrush, Punkinloveee",Freak Show,68,https://open.spotify.com/track/5tf5yfShsau5KL2uMGlbWC
Hyperpop,I'm so crazy for youuu </3,Rebzyyx,I'm so crazy for youuu </3,71,https://open.spotify.com/track/3uKqnQ0dGBcpovf9lV2nqg
Hyperpop,crush,2hollis,boy,65,https://open.spotify.com/track/2h7vLf7jv2KsRb7fV77w5H
Hyperpop,poster boy,2hollis,2,83,https://open.spotify.com/track/0Gz4Q1Bmyef5yA0G6LIIQZ
Hyperpop,#BrooklynBloodPop!,SyKo,#BrooklynBloodPop!,70,https://open.spotify.com/track/5tDbyeaCvxjNCBcupQucGo
Hyperpop,365 featuring shygirl,"Charli xcx, Shygirl",Brat and it’s completely different but also still brat,62,https://open.spotify.com/track/5xyaPwLmgoyGlDDu2H0Uix
Hyperpop,WET DREAMS (w/ Nimstarr),"Odetari, Nimstarr",WET DREAMS (w/ Nimstarr),68,https://open.spotify.com/track/4as0bvI0a6VSgjWObsvwhi
Hyperpop,the prom,glaive,i care so much that i dont care at all,65,https://open.spotify.com/track/2WFNSeBczMYbMnGkDW7LyR
Hyperpop,jeans,2hollis,jeans,70,https://open.spotify.com/track/6C2nVSSeXNqfoY8t6tliZ4
Hyperpop,GOOD LOYAL THOTS,Odetari,GOOD LOYAL THOTS,73,https://open.spotify.com/track/06tNJ27nVxbDwhiQMChWyr
Hyperpop,all I want is you,"Rebzyyx, hoshie star",all I want is you,74,https://open.spotify.com/track/7lOvJBqH38ZY59eLU7bioq
Hyperpop,SMOKE IT OFF!,"Lumi Athena, jnhygs",SMOKE IT OFF!,67,https://open.spotify.com/track/4mMEvkDeY56be4l7Itb5aZ
Hyperpop,moment,Vierre Cloud,moment,68,https://open.spotify.com/track/5K9tfeoiztw94dyWzF39jq
Hyperpop,Faster n Harder,6arelyhuman,Internet Famous,67,https://open.spotify.com/track/0iTDQYC3G9o12aQ3D9Btkv
Hyperpop,LOOK DON’T TOUCH (w/ cade clair),"Odetari, cade clair",LOOK DON’T TOUCH (w/ cade clair),70,https://open.spotify.com/track/7E9kejvFw8NDfuu4y3hqkp
Teen Pop,Teenager Forever,King Gnu,CEREMONY,61,https://open.spotify.com/track/7wnOPAiqvIG4dTvEInj0YT
Teen Pop,teenage dream,Olivia Rodrigo,GUTS,71,https://open.spotify.com/track/7fesNTgTEMEH0ye8MOgEDY
Teen Pop,Teenage Blue,Dreamgirl,Illuminaughty,61,https://open.spotify.com/track/6oWXWkwHKREYlBNuBCitFP
Teen Pop,boys beware,Mad Tsai,teenage nightmare,64,https://open.spotify.com/track/5mA31PQHLnzFkDR8Nnyj5O
Teen Pop,Location,Khalid,American Teen,77,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
Teen Pop,Young Dumb & Broke,Khalid,American Teen,81,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
Rock,Rock with you,SEVENTEEN,SEVENTEEN 9th Mini Album 'Attacca',68,https://open.spotify.com/track/6LnEoRQKMcaFTR5UvaKuBy
Rock,Rock and A Hard Place,Bailey Zimmerman,Religiously. The Album.,78,https://open.spotify.com/track/1TE8AAk9koG0UJco6ZAUfx
Rock,Rock N Roll,Ken Carson,Project X,69,https://open.spotify.com/track/7sdHMJvhKib3ReVPsZFbrf
Rock,Rock My Body,"R3HAB, INNA, Sash!",Rock My Body (with INNA & Sash!),71,https://open.spotify.com/track/6pb5DtlAeG95dNQLHiArRU
Rock,Rock-a-Bye Baby,CoComelon,"CoComelon Kids Hits, Vol. 2",62,https://open.spotify.com/track/3NEgsdTwk3tIjt6x4d2VzE
Rock,Rock & Roll,Oliver Malcolm,Rock & Roll,64,https://open.spotify.com/track/3OLYHxl3y6qhrvUMGNJ894
Rock,ROCK OUT IN MY JAMMIES,DØLØ VØÑ,ROCK OUT IN MY JAMMIES,67,https://open.spotify.com/track/7fBEKUqgWEVjvS3Wq3Qqg0
Rock,Rockstar Made,Playboi Carti,Whole Lotta Red,66,https://open.spotify.com/track/3cWmqvMwVQKDigWLSZ3w9h
Rock,Rockstar,LISA,Rockstar,74,https://open.spotify.com/track/6vvPecFTmWxDfEJ6cYT1wa
